customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
GS98873,Arizona,F,Bachelor,0,16061,88,0,633,Personal Auto,Four-Door Car
CW49887,California,F,Master,0,79487,114,0,547,Special Auto,SUV
MY31220,California,F,College,0,54230,112,0,537,Personal Auto,Two-Door Car
UH35128,Oregon,F,College,0,71210,214,0,1027,Personal Auto,Luxury Car
WH52799,Arizona,F,College,0,94903,94,0,451,Corporate Auto,Two-Door Car
WL99637,Arizona,M,Bachelor,0,27293,96,0,469,Personal Auto,Two-Door Car
UC84059,California,F,Master,0,70950,171,0,565,Personal Auto,Sports Car
HW62747,Oregon,M,College,0,0,63,0,302,Corporate Auto,Four-Door Car
BH11344,Oregon,F,Doctor,0,37009,71,0,145,Corporate Auto,Two-Door Car
TX28465,Nevada,M,College,0,52629,65,0,136,Personal Auto,Four-Door Car
OK56965,California,F,Bachelor,0,31264,198,0,825,Personal Auto,Luxury SUV
WT22392,Oregon,F,College,0,65473,67,0,277,Personal Auto,Four-Door Car
PH85036,Washington,F,Bachelors,0,79325,68,0,251,Corporate Auto,Four-Door Car
KC71643,Oregon,M,High School or Below,0,99144,61,0,292,Corporate Auto,Four-Door Car
NR32615,California,M,College,0,22520,73,0,350,Corporate Auto,Four-Door Car
GS69842,Arizona,F,Bachelor,0,36615,65,0,264,Special Auto,Four-Door Car
WT71621,Washington,F,Bachelors,0,63297,82,0,251,Personal Auto,Four-Door Car
KD23847,Arizona,F,High School or Below,0,76374,61,0,292,Personal Auto,Four-Door Car
PE59368,Washington,F,Bachelors,0,72096,6464,0,252,Personal Auto,Two-Door Car
NK91488,Nevada,M,Master,0,56005,68,0,326,Personal Auto,Four-Door Car
CR33417,Washington,F,Master,0,36529,118,0,255,Personal Auto,SUV
WP73172,Oregon,F,Bachelor,0,81367,103,0,415,Special Auto,SUV
PS30217,California,F,Bachelor,0,44817,83,0,527,Personal Auto,Four-Door Car
EL62967,Oregon,F,High School or Below,0,58508,69,0,57,Personal Auto,Two-Door Car
MU23938,Oregon,M,Bachelor,0,45259,138,0,272,Personal Auto,SUV
VC83809,California,M,Doctor,0,30817,88,0,91,Personal Auto,Four-Door Car
VL34577,Oregon,F,High School or Below,0,0,72,0,345,Personal Auto,Two-Door Car
QE12539,California,M,Doctor,0,40870,105,0,504,Personal Auto,SUV
YO15246,Nevada,M,High School or Below,0,35001,96,0,460,Personal Auto,Four-Door Car
WF73839,Arizona,F,College,0,49937,64,0,302,Personal Auto,Two-Door Car
TJ11671,Oregon,F,Bachelor,0,0,109,0,523,Personal Auto,Four-Door Car
SV34223,California,F,College,0,58317,73,0,350,Personal Auto,Four-Door Car
XD19546,California,F,High School or Below,0,0,109,0,523,Personal Auto,SUV
OY95739,Nevada,M,High School or Below,0,17101,113,0,542,Corporate Auto,SUV
SW57539,California,F,College,0,0,118,0,566,Corporate Auto,SUV
IA62027,Arizona,F,Bachelor,0,0,65,0,468,Personal Auto,Four-Door Car
FZ20933,Oregon,M,High School or Below,0,24398,63,0,302,Personal Auto,Four-Door Car
WR62597,Oregon,M,College,0,24641,61,0,294,Corporate Auto,Four-Door Car
KU61611,Arizona,M,High School or Below,0,69040,108,0,518,Corporate Auto,Sports Car
XW98867,Oregon,M,High School or Below,0,17101,113,0,542,Personal Auto,SUV
PP80817,California,F,High School or Below,0,59886,104,0,71,Personal Auto,Sports Car
DT77901,Oregon,F,Bachelor,0,14290,271,0,1300,Personal Auto,Luxury SUV
DX34647,California,F,College,0,43137,96,0,460,Personal Auto,Two-Door Car
OD56551,Oregon,M,College,0,27978,69,0,447,Personal Auto,Four-Door Car
OO63074,California,F,Bachelor,0,25261,118,0,566,Personal Auto,SUV
EH24828,Nevada,M,College,0,58652,64,0,307,Personal Auto,Four-Door Car
CX99919,Nevada,F,College,0,28321,111,0,537,Corporate Auto,SUV
DG80424,Washington,F,College,0,77411,67,0,257,Personal Auto,Four-Door Car
NU32697,Oregon,M,College,0,0,72,0,518,Corporate Auto,Four-Door Car
PU98976,California,F,Bachelor,0,0,88,0,633,Personal Auto,Four-Door Car
ZR20842,Arizona,M,College,0,94415,127,0,492,Personal Auto,Sports Car
NF35573,Oregon,M,High School or Below,0,0,103,0,1149,Special Auto,SUV
DF66914,Arizona,F,Bachelor,0,45331,100,0,572,Personal Auto,SUV
