customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
RB50392,Washington,F,Master,0,0,1000,0,Personal Auto,Four-Door Car,2
QZ44356,Arizona,F,Bachelor,0,0,94,0,Personal Auto,Four-Door Car,1131
AI49188,Nevada,F,Bachelor,0,48767,108,0,Personal Auto,Two-Door Car,566
WW63253,California,M,Bachelor,0,0,106,0,Corporate Auto,SUV,529
GA49547,Washington,M,High School or Below,0,36357,68,0,Personal Auto,Four-Door Car,17
OC83172,Oregon,F,Bachelor,0,62902,69,0,Personal Auto,Two-Door Car,159
XZ87318,Oregon,F,College,0,55350,67,0,Corporate Auto,Four-Door Car,321
CF85061,Arizona,M,Master,0,0,101,0,Corporate Auto,Four-Door Car,363
DY87989,Oregon,M,Bachelor,0,14072,71,0,Corporate Auto,Four-Door Car,511
BQ94931,Oregon,F,College,0,28812,93,0,Special Auto,Four-Door Car,425
SX51350,California,M,College,0,0,67,0,Personal Auto,Four-Door Car,482
VQ65197,California,F,College,0,0,110,0,Personal Auto,SUV,528
DP39365,California,F,Master,0,77026,110,0,Corporate Auto,Four-Door Car,472
SJ95423,Arizona,F,High School or Below,0,99845,110,0,Corporate Auto,SUV,528
IL66569,California,F,College,0,83689,70,0,Corporate Auto,Four-Door Car,307
BW63560,Oregon,F,Bachelor,0,24599,64,0,Corporate Auto,Four-Door Car,42
FV94802,Nevada,F,High School or Below,0,25049,67,0,Personal Auto,Two-Door Car,454
OE15005,Cali,F,College,0,28855,101,0,Personal Auto,SUV,647
WC83389,Oregon,F,College,0,51148,72,0,Personal Auto,Four-Door Car,308
FL50705,California,F,High School or Below,0,66140,101,0,Corporate Auto,Four-Door Car,484
ZK25313,Oregon,F,High School or Below,0,57749,74,0,Personal Auto,Two-Door Car,355
QK46697,Washington,M,Bachelors,0,61040,79,0,Personal Auto,Two-Door Car,20
YH23384,Arizona,F,Bachelor,0,14072,71,0,Personal Auto,Four-Door Car,511
TZ98966,Nevada,F,Bachelor,0,0,73,0,Corporate Auto,Four-Door Car,554
HM55802,California,F,Bachelor,0,17870,61,0,Corporate Auto,Four-Door Car,439
FS42516,Oregon,F,College,0,97541,72,0,Personal Auto,Four-Door Car,389
US89481,California,F,Bachelor,0,0,111,0,Personal Auto,Four-Door Car,799
HS14476,Washington,M,College,0,29723,80,0,Personal Auto,Four-Door Car,20
GE62437,AZ,F,College,0,86584,111,0,Personal Auto,Four-Door Car,532
EJ77678,Oregon,F,Master,0,75690,80,0,Personal Auto,Four-Door Car,384
SV85652,Arizona,F,College,0,23158,63,0,Personal Auto,Four-Door Car,322
UL64533,Nevada,F,High School or Below,0,65999,237,0,Corporate Auto,Luxury SUV,615
PF41800,California,F,Bachelor,0,0,65,0,Personal Auto,Four-Door Car,308
HD95276,Washington,F,College,0,0,130,0,Personal Auto,SUV,23
SK67821,Oregon,F,Bachelor,0,37260,62,0,Corporate Auto,Four-Door Car,15
YV55495,Arizona,F,High School or Below,0,68987,71,0,Personal Auto,Four-Door Car,204
KY38074,California,F,Bachelor,0,42305,117,0,Personal Auto,Four-Door Car,561
DM79012,Oregon,F,Master,0,65706,91,0,Personal Auto,Four-Door Car,436
CM61827,Oregon,F,Bachelor,0,0,90,0,Personal Auto,Two-Door Car,648
WC35801,Arizona,F,High School or Below,0,53243,66,0,Personal Auto,Four-Door Car,157
QG25316,Nevada,F,High School or Below,0,0,70,0,Corporate Auto,Two-Door Car,484
MB98372,Oregon,F,College,0,50071,71,0,Corporate Auto,Two-Door Car,18
IL19217,California,F,Bachelor,0,60021,99,0,Personal Auto,Four-Door Car,882
SR38658,Arizona,F,High School or Below,0,43244,103,0,Personal Auto,Sports Car,494
YD87931,Washington,M,Doctor,0,46896,35354,0,Personal Auto,Four-Door Car,31
HG65722,Oregon,F,Doctor,0,10105,172,0,Personal Auto,SUV,0
BU27331,Arizona,F,Bachelor,0,0,73,0,Personal Auto,Four-Door Car,579
XM45289,Oregon,F,High School or Below,0,23218,71,0,Personal Auto,Two-Door Car,447
KP34198,California,F,Bachelor,0,0,92,0,Corporate Auto,Four-Door Car,529
SH90947,Arizona,F,High School or Below,0,0,62,0,Personal Auto,Four-Door Car,313
WE95729,Oregon,F,College,0,24804,104,0,Personal Auto,SUV,593
PY51963,California,F,Bachelor,0,33190,106,0,Corporate Auto,SUV,508
RB69909,Nevada,F,High School or Below,0,36014,69,0,Special Auto,Four-Door Car,173
NW21079,Washington,F,Master,0,67163,61,0,Personal Auto,Two-Door Car,33
FR46645,California,F,Bachelor,0,16701,113,0,Personal Auto,Four-Door Car,831
SY17488,Arizona,F,College,0,46623,91,0,Corporate Auto,Four-Door Car,436
AP67935,California,F,College,0,64749,64,0,Special Auto,Four-Door Car,302
FS37417,Arizona,F,High School or Below,0,0,101,0,Personal Auto,SUV,484
